,Friend,Follower Count,,,,,,,,,,,,
154,269869476,28,,,,,,,,,,,,
155,271609574,77,,,,,,,,,,,,
156,274274893,397,,,,,,,,,,,,
157,278198164,107,,,,,,,,,,,,
158,281068455,559,,,,,,,,,,,,
159,284205655,324,,,,,,,,,,,,
160,285932503,757,,,,,,,,,,,,
161,307755344,5000,,,,,,,,,,,,
162,315675025,5000,,,,,,,,,,,,
163,320298773,1348,,,,,,,,,,,,
164,326644141,2,,,,,,,,,,,,
165,335488383,312,,,,,,,,,,,,
166,337124515,946,,,,,,,,,,,,
167,344269976,279,,,,,,,,,,,,
168,350556278,1372,,,,,,,,,,,,
169,355773903,5000,,,,,,,,,,,,
170,360935984,280,,,,,,,,,,,,
171,365952591,49,,,,,,,,,,,,
172,377121556,60,,,,,,,,,,,,
173,380373487,1380,,,,,,,,,,,,
174,382427814,76,,,,,,,,,,,,
175,384353422,528,,,,,,,,,,,,
176,387831845,465,,,,,,,,,,,,
177,390440010,210,,,,,,,,,,,,
178,398726412,46,,,,,,,,,,,,
179,399555239,237,,,,,,,,,,,,
180,420457074,1904,,,,,,,,,,,,
181,455827771,308,,,,,,,,,,,,
182,466184798,29,,,,,,,,,,,,
183,476100749,3610,,,,,,,,,,,,
184,479894950,647,,,,,,,,,,,,
185,538185924,32,,,,,,,,,,,,
186,539316186,146,,,,,,,,,,,,
187,539768101,101,,,,,,,,,,,,
188,543394546,35,,,,,,,,,,,,
189,549981650,71,,,,,,,,,,,,
190,570277495,91,,,,,,,,,,,,
191,570557060,78,,,,,,,,,,,,
192,589300441,4403,,,,,,,,,,,,
193,603399914,3,,,,,,,,,,,,
194,605081124,13,,,,,,,,,,,,
195,606550203,274,,,,,,,,,,,,
196,618128128,613,,,,,,,,,,,,
197,618889136,3260,,,,,,,,,,,,
198,619160729,2,,,,,,,,,,,,
199,707840696,1380,,,,,,,,,,,,
200,711254847,314,,,,,,,,,,,,
201,727549675,2864,,,,,,,,,,,,
202,830441646,579,,,,,,,,,,,,
203,831353796,28,,,,,,,,,,,,
204,839212831,616,,,,,,,,,,,,
205,856814478,322,,,,,,,,,,,,
206,863233914,202,,,,,,,,,,,,
207,889998600,526,,,,,,,,,,,,
208,908722394,276,,,,,,,,,,,,
209,915196352,735,,,,,,,,,,,,
210,954570740,1,,,,,,,,,,,,
211,997804160,22,,,,,,,,,,,,
212,1148762064,1514,,,,,,,,,,,,
213,1187739625,10,,,,,,,,,,,,
214,1200468920,209,,,,,,,,,,,,
215,1299060908,371,,,,,,,,,,,,
216,1381440247,105,,,,,,,,,,,,
217,1383120733,43,,,,,,,,,,,,
218,1444456622,793,,,,,,,,,,,,
219,1511472330,178,,,,,,,,,,,,
